not in body length data ,,,,,wikipedia,,,,,,,,,,,,,,,,,,,,
Species,Galápagos (binary),Islands (multistate),"Latitude, long ( google maps)",Island Size (km^2) (wikipedia) (britannica),Island location (https://datazone.darwinfoundation.org/en/checklist/),,,,,,,,,,,,,,,,,,,,
Aldabrachelys gigantea,0,2,,0,Aldabra Atoll,,,,,,,,,,,,,,,,,,,,
Aldabrachelys grandidieri,0,2,,0,Madagasgar,,,,,,,,,,,,,,,,,,,,
Astrochelys radiata,0,2,,0,,,,,,,,,,,,,,,,,,,,,
Astrochelys yniphora,0,2,,0,,,,,,,,,,,,,,,,,,,,,
Centrochelys sulcata,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Chelonoidis abingdonii,1,2,"0.615253, -90.790952",60,Pinta island (likely extinct),,,,,,,,,,,,,,,,,,,,
Chelonoidis becki,1,2,"0.041399, -91.337196",4670,wolf volcano isabela,,,,,,,,,,,,,,,,,,,,
Chelonoidis carbonarius,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Chelonoidis chathamensis,1,2,"-0.810731, -89.416523",557.88,San Cristobal Island,,,,,,,,,,,,,,,,,,,,
Chelonoidis chilensis,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Chelonoidis darwini,1,2,"-0.287703, -90.620062",572,Santiago Island,,,,,,,,,,,,,,,,,,,,
Chelonoidis denticulatus,0,0,,0,,,,,,,,,,,,,,,,,,,,,
Chelonoidis duncanensis,1,2,"-0.613271, -90.656404",18,pinzon island ,,,,,,,,,,,,,,,,,,,,
Chelonoidis hoodensis,1,2,"-1.374332, -89.658942",60,Espanola Island,,,,,,,,,,,,,,,,,,,,
Chelonoidis niger,1,2,"-1.284933, -90.409078",173,Floreana,,,,,,,,,,,,,,,,,,,,
Chelonoidis phantastica,1,2,"-0.370006, -91.452798",642,Fernandina Island ( extinct) ,,,,,,,,,,,,,,,,,,,,
Chelonoidis porteri,1,2,"-0.584209, -90.254497",986.008,santa cruz island,,,,,,,,,,,,,,,,,,,,
Chelonoidis vicina,1,2,"-0.942820, -91.392504",4670,Cerro azul Volcano on Isabela Island ,,,,,,,,,,,,,,,,,,,,
Chersina angulata,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Cylindraspis indica,0,2,,2512,Reunion Island,,,,,,,,,,,,,,,,,,,,
Cylindraspis inepta,0,2,,2041,Mauritius,,,,,,,,,,,,,,,,,,,,
Cylindraspis peltastes,0,2,,108,Rodrigues,,,,,,,,,,,,,,,,,,,,
Cylindraspis triserrata,0,2,,2041,Mauritius,,,,,,,,,,,,,,,,,,,,
Cylindraspis vosmaeri,0,2,,108,Rodrigues,,,,,,,,,,,,,,,,,,,,
Geochelone elegans,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Geochelone platynota ,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Gopherus agassizii,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Gopherus berlandieri,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Gopherus evgoodei,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Gopherus flavomarginatus,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Gopherus morafkai,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Gopherus polyphemus,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Homopus areolatus,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Homopus boulengeri,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Homopus femoralis,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Homopus signatus,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Homopus solus,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Indotestudo elongata,0,0,,0,,,,,,,,,,,,,,,,,,,,,
Indotestudo forstenii,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Indotestudo travancorica,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Kinixys belliana,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Kinixys erosa,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Kinixys homeana,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Kinixys lobatsiana,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Kinixys natalensis,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Kinixys nogueyi,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Kinixys spekii,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Kinixys zombensis,0,0,,0,,,,,,,,,,,,,,,,,,,,,
Malacochersus tornieri,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Manouria emys,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Manouria impressa,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Psammobates geometricus,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Psammobates oculiferus,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Psammobates tentorius,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Pyxis arachnoides,0,2,,0,,,,,,,,,,,,,,,,,,,,,
Pyxis planicauda,0,2,,0,,,,,,,,,,,,,,,,,,,,,
Stigmochelys pardalis,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Testudo graeca,0,0,,0,,,,,,,,,,,,,,,,,,,,,
Testudo hermanni,0,0,,0,,,,,,,,,,,,,,,,,,,,,
Testudo horsfieldii,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Testudo kleinmanni,0,1,,0,,,,,,,,,,,,,,,,,,,,,
Testudo marginata,0,0,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
